epoch,train_loss,train_acc,val_loss,val_acc
1,0.0013920225901529193,0.1042110134197131,0.005583670921623707,0.12184249628528974
2,0.0012487528147175908,0.11883387320684868,0.005523496773093939,0.12184249628528974
3,0.0012721549719572067,0.11772327626099029,0.005092869512736797,0.12184249628528974
4,0.0013478766195476055,0.11948172142526609,0.005529496353119612,0.12184249628528974
5,0.0013048802502453327,0.11689032855159648,0.005755651742219925,0.12184249628528974
6,0.0013558368664234877,0.12096251735307728,0.005337192211300135,0.12184249628528974
7,0.0012607108801603317,0.12049976862563629,0.005528521724045277,0.12184249628528974
8,0.001401736051775515,0.12161036557149468,0.005545540247112513,0.12184249628528974
9,0.0012881974689662457,0.12161036557149468,0.0057355123572051525,0.12184249628528974
10,0.0013129513245075941,0.12207311429893568,0.005463369190692902,0.0988112927191679
