epoch,train_loss,train_acc,val_loss,val_acc
1,0.0012465277686715126,0.15511337343822304,0.004184034653007984,0.16270430906389302
2,0.0013035255251452327,0.21323461360481258,0.005324187688529491,0.22808320950965824
3,0.0015150564722716808,0.25904673762147157,0.004847153089940548,0.28306092124814264
4,0.0013226631563156843,0.2969921332716335,0.0017434692708775401,0.32689450222882616
5,0.0009361038100905716,0.3365108745950949,0.0038299020379781723,0.3476968796433878
6,0.000561171502340585,0.3665895418787598,0.003458630293607712,0.3952451708766716
7,0.0012128297239542007,0.4116612679315132,0.0021732565946877003,0.399702823179792
8,0.0009438188280910254,0.4472929199444702,0.0013910584384575486,0.5163447251114414
9,0.001012873835861683,0.4929199444701527,0.005128213670104742,0.525260029717682
10,0.0008323606452904642,0.5338269319759371,0.001495114411227405,0.5312035661218425
