epoch,train_loss,train_acc,val_loss,val_acc
1,0.00017562836001161486,0.6414012245214291,0.00360665749758482,0.8485412787088765
2,0.0006352969794534147,0.848329845772301,0.004623911343514919,0.8603351955307262
3,0.00047961497330106795,0.9037433155080213,0.0032661412842571735,0.9162011173184358
4,0.0010630962206050754,0.920793613888243,0.0003162090142723173,0.9428926132836747
5,9.32379043661058e-05,0.9290862590095327,0.001542205223813653,0.962756052141527
6,6.469437266787281e-06,0.941253971944509,0.0008210131200030446,0.9565487274984482
7,6.92723406245932e-05,0.946524064171123,0.0005254611605778337,0.9646182495344506
8,1.0222296396023012e-06,0.9505541346973572,8.173312380677089e-06,0.9720670391061452
9,4.821437869395595e-06,0.9561342323490661,1.341221923212288e-05,0.9621353196772191
10,2.557225525379181e-05,0.9566767418429822,0.00022359445574693382,0.9602731222842955
