epoch,train_loss,train_acc,val_loss,val_acc
1,0.000321565312333405,0.3154850635024745,0.012838616967201233,0.31852913085004775
2,0.0006558513268828392,0.38775266829646415,0.01124592125415802,0.4665711556829035
3,0.00033005228033289313,0.4909665494007513,0.008479177951812744,0.5491881566380133
4,0.0004260941641405225,0.5629360205115974,0.010500182397663593,0.6031518624641834
5,0.00018160972103942186,0.6081330868761553,0.009290417656302452,0.6212989493791786
6,0.000529724929947406,0.6448631566394372,0.004259967245161533,0.6580706781279847
7,0.00019295640231575817,0.679983304513744,0.011848663911223412,0.673352435530086
8,0.00018635016749612987,0.7069345894699183,0.005936816800385714,0.6986628462273161
9,0.00028838860453106463,0.7309641643312862,0.004661165177822113,0.7148997134670487
10,0.00017397303599864244,0.7579154492874605,0.004724804777652025,0.6829035339063992
