epoch,train_loss,train_acc,val_loss,val_acc
1,0.0008136542746797204,0.2855159648310967,0.0040940591134130955,0.3551263001485884
2,0.0009112214320339262,0.38787598334104584,0.0032307463698089123,0.4346210995542348
3,0.0009829289047047496,0.47894493290143453,0.00368301710113883,0.5208023774145617
4,0.0005353724700398743,0.5555761221656641,0.0008535762899555266,0.5408618127786032
5,0.0006079243612475693,0.6253586302637668,0.002673698589205742,0.5349182763744428
6,0.00029527535662055016,0.6614530310041647,0.0014636465348303318,0.6329866270430906
7,0.0005088686593808234,0.7028227672373901,0.0006379644037224352,0.6731054977711739
8,0.0003649844729807228,0.7340120314669135,0.00016565507394261658,0.6983655274888558
9,0.0005024396814405918,0.7591855622397038,0.003400424961000681,0.7199108469539376
10,0.00028783659217879176,0.7882461823229986,0.00036374101182445884,0.7384843982169391
